82176.802508	0.638	24640.062500	10000	1024
179704.541560	1.167	98432.062500	10000	2048
231644.182622	2.037	221376.062500	10000	3072
256297.219676	3.273	393472.062500	10000	4096
271539.258339	4.827	614720.062500	10000	5120
276912.676056	6.816	885120.062500	10000	6144
278634.620390	9.220	1204672.062500	10000	7168
283064.214611	11.854	1573376.062500	10000	8192
269805.133418	15.740	1991232.062500	10000	9216
284506.186238	18.428	2458240.062500	10000	10240
284619.534299	22.289	2974400.062500	10000	11264
284982.153103	26.492	3539712.062500	10000	12288
283480.522140	31.256	4154176.062500	10000	13312
286840.050244	35.825	4817792.062500	10000	14336
287235.627846	41.069	5530560.062500	10000	15360
