29.925114	0.876	24640.062500	5	1024
30.446458	3.444	98432.062500	5	2048
30.012670	7.861	221376.062500	5	3072
28.214072	14.866	393472.062500	5	4096
27.708439	23.652	614720.062500	5	5120
27.709969	34.057	885120.062500	5	6144
27.714968	46.347	1204672.062500	5	7168
27.695229	60.578	1573376.062500	5	8192
27.718741	76.604	1991232.062500	5	9216
27.726609	94.546	2458240.062500	5	10240
27.726042	114.403	2974400.062500	5	11264
27.705088	136.252	3539712.062500	5	12288
27.713903	159.856	4154176.062500	5	13312
27.710334	185.419	4817792.062500	5	14336
27.705966	212.887	5530560.062500	5	15360
