35424.864865	0.148	24640.062500	1000	1024
16244.399690	1.291	98432.062500	1000	2048
14819.698492	3.184	221376.062500	1000	3072
14366.514814	5.839	393472.062500	1000	4096
14292.007415	9.171	614720.062500	1000	5120
14179.526707	13.311	885120.062500	1000	6144
14207.561110	18.082	1204672.062500	1000	7168
14179.526707	23.664	1573376.062500	1000	8192
14191.728379	29.924	1991232.062500	1000	9216
14190.656634	36.946	2458240.062500	1000	10240
14197.853274	44.682	2974400.062500	1000	11264
14154.006749	53.340	3539712.062500	1000	12288
14152.066316	62.609	4154176.062500	1000	13312
14166.039151	72.540	4817792.062500	1000	14336
14138.188094	83.437	5530560.062500	1000	15360

