72817.777778	0.072	24640.062500	1000	1024
29495.808720	0.711	98432.062500	1000	2048
25672.426551	1.838	221376.062500	1000	3072
26280.100251	3.192	393472.062500	1000	4096
26635.236740	4.921	614720.062500	1000	5120
26681.323155	7.074	885120.062500	1000	6144
26926.016141	9.541	1204672.062500	1000	7168
26598.836306	12.615	1573376.062500	1000	8192
26978.799314	15.741	1991232.062500	1000	9216
27101.990178	19.345	2458240.062500	1000	10240
27198.957297	23.324	2974400.062500	1000	11264
27174.959326	27.782	3539712.062500	1000	12288
27242.020600	32.525	4154176.062500	1000	13312
27237.184054	37.728	4817792.062500	1000	14336
27226.625430	43.327	5530560.062500	1000	15360

