119700.456621	0.438	24640.062500	10000	1024
144931.029717	1.447	98432.062500	10000	2048
153650.016281	3.071	221376.062500	10000	3072
155459.747961	5.396	393472.062500	10000	4096
156672.244800	8.366	614720.062500	10000	5120
156594.773086	12.053	885120.062500	10000	6144
154834.329797	16.592	1204672.062500	10000	7168
156059.866983	21.501	1573376.062500	10000	8192
146146.768532	29.058	1991232.062500	10000	9216
154397.620520	33.957	2458240.062500	10000	10240
153278.360878	41.388	2974400.062500	10000	11264
152900.078984	49.377	3539712.062500	10000	12288
151341.973833	58.546	4154176.062500	10000	13312
153325.745662	67.021	4817792.062500	10000	14336
152472.339986	77.368	5530560.062500	10000	15360
